review_id,rating_date,review_year,review_month,employee_status,employee_type,employee_length,employee_location,job_title_bucket,flags_business_outlook,flags_ceo_approval,flags_recommend_friend,rating_overall,rating_work_life,rating_compensation_benefits,rating_senior_leadership,rating_career_opportunities,rating_culture_values,rating_diversity_inclusion,summary_cleaned,advice_to_management_cleaned,review_pros_cleaned,review_cons_cleaned,pros_polarity,pros_subjectivity,cons_polarity,cons_subjectivity,pros_sentiment_label,cons_sentiment_label
59,2025-02-25,2025,2025-02,Regular,Current Employee,0,"Swindon, Wiltshire, South West England, England",Associate,Positive,Approve,Positive,5,5,5,5,5,5,5,best place work,,good working environment good pay,heavy lifting sometimes stressful,0.7,0.6,-0.2,0.5,positive,negative
60,2025-02-21,2025,2025-02,Regular,Former Employee,0,"Fort Wayne, IN",Picker/Packer,No Response,No Response,No Response,3,0,0,0,0,0,0,picker pay,,easiest job ever,get rid whenever want,0,0,0,0,neutral,neutral
61,2025-02-21,2025,2025-02,Regular,Former Employees,4,Orléans,"Management, IT, RME, HR",No Response,No Response,No Response,5,4,5,5,5,5,5,super experience,,tres bonne ecole salaires genereux et cb avantageux,demande un investissement personnel important,0,0,0.4,1,neutral,positive
62,2025-02-19,2025,2025-02,Contract,"Former Employee, Less Than 1 Year",1,"Koblenz, Rhineland-Palatinate","Management, IT, RME, HR",Negative,No Response,Positive,1,2,3,3,1,1,2,befristet fur monate,ehrliche security mitarbeiter anstellen,angemessen bezahlt und es gibt kein dresscode bis auf stahlkappenschuhe verbot,die security nervt ich wei jemand von denen hat einen sender von dem magnet tor wo man rein und raus geht das tor hat sogar dann gepiepst als ich metal hatte,0,0,0,0,neutral,neutral
63,2025-02-18,2025,2025-02,Regular,Current Employees,4,"San Antonio, TX",Associate,Neutral,Approve,Positive,4,4,4,3,4,3,3,fulfillment worker,,name,name,0,0,0,0,neutral,neutral
64,2025-02-18,2025,2025-02,Regular,Current Employees,9,"Carrollton, TX","Management, IT, RME, HR",Positive,No Opinion,Positive,4,3,3,3,2,4,3,senior program manager lean methodologies learning quality excellence driving operational efficiency,trust team get job done reward,growth development relationships innovation fun actual work awesome,cons would job,0.4333333333,0.4333333333,0,0,positive,neutral
65,2025-02-18,2025,2025-02,Regular,Current Employee,0,"Brampton, ON",Associate,No Response,No Response,No Response,5,0,0,0,0,0,0,good,,good benefits environment team work great pay,dont think downside,0.75,0.675,0,0,positive,neutral
66,2025-02-18,2025,2025-02,Regular,Former Employees,2,"San Bernardino, CA",Associate,Positive,Disapprove,Negative,2,1,3,1,3,1,2,high pressure perform difficult maintain safety standards,hr protective youre losing connection workers allow unions people feel safe work build career,needed job fast onboarding fast skills requirements low pay local average fun work robotics fulfillment center,metrics always part work experience day day optimizations pas always coming give feedback make seem like matters numbers focus numbers output focus focus focus problem even though could great kept high quality maintaining speed quality really draining especially hour shifts industrial environment literally sometimes none neighbors talk pass long day repetitive tasks thats another thing physical mental aspect repetitious task not mentally draining despite regular safety meetings warnings signs plastered place theres much pressure increase performance consistently lots people cutting corners keep getting canned ended repetitive motion injury hand due pulling items cubbies basically already covered policies theres nothing grin bear recommendation educate safety policies speak loudly frequently group settings feel something isnt safe keep leadership accountable dont push physically meet numbers difficult youve got bills pay not worth long term mobility health build skills find work another company respects body,0.06428571429,0.3142857143,0.00880952381,0.389411303,neutral,neutral
67,2025-02-18,2025,2025-02,Regular,Current Employees,2,"Bellevue, WA","Management, IT, RME, HR",No Response,No Response,No Response,3,0,0,0,0,0,0,good,,good work lot learn,much work no work life balance,0.7,0.6,0.2,0.2,positive,positive
68,2025-02-17,2025,2025-02,Part Time,"Former Employee, Less Than 1 Year",1,"Portland, OR",Associate,No Response,No Response,No Response,3,4,0,0,3,0,0,not proper training,,good pay shift options benefits,not able train well employees,0.7,0.6,-0.25,0.625,positive,negative
69,2025-02-17,2025,2025-02,Regular,"Former Employee, Less Than 1 Year",1,"Etna, OH",Associate,Positive,Approve,Positive,5,4,5,4,4,5,5,great opportunity awesome benefits,hire back didnt know gone regret leaving,benefits amazon atoz app worked great thorough simple work repetitive made time fly,decent bit people didnt speak much english would hard communicate sometimes everyone helpful needed,0.3375,0.5642857143,-0.04166666667,0.4027777778,positive,neutral
70,2025-02-13,2025,2025-02,Intern,Former Employee,0,"Tampa, FL","Management, IT, RME, HR",No Response,No Response,No Response,4,0,0,0,0,0,0,hr partner intern amazon,,good pay benefits interns,since site hours may get night shift,0.7,0.6,0,0,positive,neutral
71,2025-02-12,2025,2025-02,Contract,Former Employee,0,"Brampton, ON",Associate,No Response,No Response,No Response,2,0,0,0,0,0,0,good not great,,daytime hours good worklife balance,nighttime shift absolute mess,0.7,0.6,0.0125,0.5375,positive,neutral
72,2025-02-11,2025,2025-02,Intern,Former Employee,0,"Spokane, WA","Management, IT, RME, HR",No Response,No Response,No Response,4,0,0,0,0,0,0,get put,,hands work real experience managing associates,overwork interns like associate dont differentiate advocate work,0.2,0.3,0,0,positive,neutral
73,2025-02-10,2025,2025-02,Part Time,"Current Employee, Less Than 1 Year",1,Paderborn,Associate,No Response,No Response,No Response,5,5,5,5,5,5,5,great working place starters,,fixed hours parttime fulltime available,pay overtime,0.25,0.3,0,0,positive,neutral
